ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
4c6b8f048840b5bf25271bbfa3e99aec,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,193353,,,
c93d71ac00d50e7f794551d22c6f798d,image.jpg,,image/jpeg,media/image.jpg,,,90793,,,
0b918e3fc0b68b38836ad1a7cd5bd726,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,247627,,,
168ea9df5269ba761d554fc8a408d975,Kimoto2017_a-grammar-of-Arta.pdf,,application/pdf,media/Kimoto2017_a-grammar-of-Arta.pdf,,,26560500,,,
lisiya_mp3,mc_arta_alisiya.mp3,,audio/mpeg,media/mc_arta_alisiya.mp3,,,2788204,174.236735,alisiya,
lisiya_wav,mc_arta_alisiya.wav,,audio/x-wav,media/mc_arta_alisiya.wav,,,15361124,174.16190476190476,alisiya,
lisiya_eaf,mc_arta_alisiya.eaf,,application/eaf+xml,media/mc_arta_alisiya.eaf,,,263224,,alisiya,
lisiya_xml,mc_arta_alisiya.xml,,application/xml,media/mc_arta_alisiya.xml,,,55673,,alisiya,
lisiya_tsv,mc_arta_alisiya.tsv,,text/tab-separated-values,media/mc_arta_alisiya.tsv,,,17410,,alisiya,
senyo_mp3,mc_arta_arsenyo.mp3,,audio/mpeg,media/mc_arta_arsenyo.mp3,,,6768768,423.024,arsenyo,
senyo_wav,mc_arta_arsenyo.wav,,audio/x-wav,media/mc_arta_arsenyo.wav,,,81216044,423.0,arsenyo,
senyo_eaf,mc_arta_arsenyo.eaf,,application/eaf+xml,media/mc_arta_arsenyo.eaf,,,313872,,arsenyo,
senyo_xml,mc_arta_arsenyo.xml,,application/xml,media/mc_arta_arsenyo.xml,,,68083,,arsenyo,
senyo_tsv,mc_arta_arsenyo.tsv,,text/tab-separated-values,media/mc_arta_arsenyo.tsv,,,19254,,arsenyo,
hild_mp3,mc_arta_child.mp3,,audio/mpeg,media/mc_arta_child.mp3,,,13627776,851.712,child,
hild_wav,mc_arta_child.wav,,audio/x-wav,media/mc_arta_child.wav,,,163521724,851.6754166666667,child,
hild_eaf,mc_arta_child.eaf,,application/eaf+xml,media/mc_arta_child.eaf,,,897380,,child,
hild_xml,mc_arta_child.xml,,application/xml,media/mc_arta_child.xml,,,193208,,child,
hild_tsv,mc_arta_child.tsv,,text/tab-separated-values,media/mc_arta_child.tsv,,,54906,,child,
delia_mp3,mc_arta_delia.mp3,,audio/mpeg,media/mc_arta_delia.mp3,,,9994368,624.624,delia,
delia_wav,mc_arta_delia.wav,,audio/x-wav,media/mc_arta_delia.wav,,,119923244,624.6,delia,
delia_eaf,mc_arta_delia.eaf,,application/eaf+xml,media/mc_arta_delia.eaf,,,596695,,delia,
delia_xml,mc_arta_delia.xml,,application/xml,media/mc_arta_delia.xml,,,128439,,delia,
delia_tsv,mc_arta_delia.tsv,,text/tab-separated-values,media/mc_arta_delia.tsv,,,35861,,delia,
disubu_mp3,mc_arta_disubu.mp3,,audio/mpeg,media/mc_arta_disubu.mp3,,,4886016,305.352,disubu,
disubu_wav,mc_arta_disubu.wav,,audio/x-wav,media/mc_arta_disubu.wav,,,58621484,305.32,disubu,
disubu_eaf,mc_arta_disubu.eaf,,application/eaf+xml,media/mc_arta_disubu.eaf,,,338447,,disubu,
disubu_xml,mc_arta_disubu.xml,,application/xml,media/mc_arta_disubu.xml,,,75030,,disubu,
disubu_tsv,mc_arta_disubu.tsv,,text/tab-separated-values,media/mc_arta_disubu.tsv,,,19844,,disubu,
hapon_mp3,mc_arta_hapon.mp3,,audio/mpeg,media/mc_arta_hapon.mp3,,,10992768,687.024,hapon,
hapon_wav,mc_arta_hapon.wav,,audio/x-wav,media/mc_arta_hapon.wav,,,131904044,687.0,hapon,
hapon_eaf,mc_arta_hapon.eaf,,application/eaf+xml,media/mc_arta_hapon.eaf,,,764693,,hapon,
hapon_xml,mc_arta_hapon.xml,,application/xml,media/mc_arta_hapon.xml,,,166642,,hapon,
hapon_tsv,mc_arta_hapon.tsv,,text/tab-separated-values,media/mc_arta_hapon.tsv,,,45747,,hapon,
husband_mp3,mc_arta_husband.mp3,,audio/mpeg,media/mc_arta_husband.mp3,,,4008960,250.536,husband,
husband_wav,mc_arta_husband.wav,,audio/x-wav,media/mc_arta_husband.wav,,,48094444,250.49166666666667,husband,
husband_eaf,mc_arta_husband.eaf,,application/eaf+xml,media/mc_arta_husband.eaf,,,255568,,husband,
husband_xml,mc_arta_husband.xml,,application/xml,media/mc_arta_husband.xml,,,53941,,husband,
husband_tsv,mc_arta_husband.tsv,,text/tab-separated-values,media/mc_arta_husband.tsv,,,15219,,husband,
y_mp3,mc_arta_marry.mp3,,audio/mpeg,media/mc_arta_marry.mp3,,,3360768,210.024,marry,
y_wav,mc_arta_marry.wav,,audio/x-wav,media/mc_arta_marry.wav,,,40320044,210.0,marry,
y_eaf,mc_arta_marry.eaf,,application/eaf+xml,media/mc_arta_marry.eaf,,,188642,,marry,
y_xml,mc_arta_marry.xml,,application/xml,media/mc_arta_marry.xml,,,40117,,marry,
y_tsv,mc_arta_marry.tsv,,text/tab-separated-values,media/mc_arta_marry.tsv,,,11987,,marry,
swateng_mp3,mc_arta_swateng.mp3,,audio/mpeg,media/mc_arta_swateng.mp3,,,10184832,636.528,swateng,
swateng_wav,mc_arta_swateng.wav,,audio/x-wav,media/mc_arta_swateng.wav,,,122208044,636.5,swateng,
swateng_eaf,mc_arta_swateng.eaf,,application/eaf+xml,media/mc_arta_swateng.eaf,,,964078,,swateng,
swateng_xml,mc_arta_swateng.xml,,application/xml,media/mc_arta_swateng.xml,,,205017,,swateng,
swateng_tsv,mc_arta_swateng.tsv,,text/tab-separated-values,media/mc_arta_swateng.tsv,,,61964,,swateng,
yphoon_mp3,mc_arta_typhoon.mp3,,audio/mpeg,media/mc_arta_typhoon.mp3,,,5668224,354.24,typhoon,
yphoon_wav,mc_arta_typhoon.wav,,audio/x-wav,media/mc_arta_typhoon.wav,,,68006444,354.2,typhoon,
yphoon_eaf,mc_arta_typhoon.eaf,,application/eaf+xml,media/mc_arta_typhoon.eaf,,,382623,,typhoon,
yphoon_xml,mc_arta_typhoon.xml,,application/xml,media/mc_arta_typhoon.xml,,,83046,,typhoon,
yphoon_tsv,mc_arta_typhoon.tsv,,text/tab-separated-values,media/mc_arta_typhoon.tsv,,,24376,,typhoon,
udulan_mp3,mc_arta_udulan.mp3,,audio/mpeg,media/mc_arta_udulan.mp3,,,5971968,373.224,udulan,
udulan_wav,mc_arta_udulan.wav,,audio/x-wav,media/mc_arta_udulan.wav,,,71654444,373.2,udulan,
udulan_eaf,mc_arta_udulan.eaf,,application/eaf+xml,media/mc_arta_udulan.eaf,,,385020,,udulan,
udulan_xml,mc_arta_udulan.xml,,application/xml,media/mc_arta_udulan.xml,,,82813,,udulan,
udulan_tsv,mc_arta_udulan.tsv,,text/tab-separated-values,media/mc_arta_udulan.tsv,,,23714,,udulan,
